0,jacob-9,zihao-gromacs10.23-3,zihao10-24,cesm_dev,cesm_bgfs,sdsc-monitor,gpu-run,gromacs-zihao,cesm_dev2,cesm_dev3,cesm_dev4,cesm_intel,cesm_nfs,hoz-scc,hpcg-dev,jacob-7,jacob-8,max-io500-beegfs-slurm-2,max-io500-beegfs-slurm-ramdisk-2,MaxBuildSlurm
0,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.334104,0,0.002104,0,0,0.014604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
